Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment
"U41"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"141.79mm"	"102.8mm"	"141.79mm"	"102.8mm"	"142.44mm"	"102.15mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"U42"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"160.79mm"	"102.8mm"	"160.79mm"	"102.8mm"	"161.44mm"	"102.15mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C43"	"C0402_NEW"	"C0402_NEW"	"170.365mm"	"100.35mm"	"170.365mm"	"100.35mm"	"169.82mm"	"100.35mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C44"	"C0402_NEW"	"C0402_NEW"	"189.265mm"	"100.35mm"	"189.265mm"	"100.35mm"	"188.72mm"	"100.35mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U43"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"170.19mm"	"102.8mm"	"170.19mm"	"102.8mm"	"170.84mm"	"102.15mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"U44"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"189.19mm"	"102.8mm"	"189.19mm"	"102.8mm"	"189.84mm"	"102.15mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C45"	"C0402_NEW"	"C0402_NEW"	"198.265mm"	"93.15mm"	"198.265mm"	"93.15mm"	"197.72mm"	"93.15mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C46"	"C0402_NEW"	"C0402_NEW"	"217.165mm"	"93.15mm"	"217.165mm"	"93.15mm"	"216.62mm"	"93.15mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U45"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"198.09mm"	"95.6mm"	"198.09mm"	"95.6mm"	"198.74mm"	"94.95mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"U46"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"217.09mm"	"95.6mm"	"217.09mm"	"95.6mm"	"217.74mm"	"94.95mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C47"	"C0402_NEW"	"C0402_NEW"	"198.465mm"	"62.45mm"	"198.465mm"	"62.45mm"	"197.92mm"	"62.45mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C48"	"C0402_NEW"	"C0402_NEW"	"217.365mm"	"62.45mm"	"217.365mm"	"62.45mm"	"216.82mm"	"62.45mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
